City,Wind potential
Abaiara,0.076
Acarape,0.003
Acaraú,2.857
Acopiara,0.003
Aiuaba,0.578
Alcântaras,0.904
Altaneira,0.036
Alto Santo,0.000
Amontada,2.513
Antonina do Norte,0.008
Apuiarés,0.000
Aquiraz,0.379
Aracati,3.091
Aracoiaba,0.000
Ararendá,0.043
Araripe,3.711
Aratuba,0.035
Arneiroz,0.160
Assaré,0.683
Aurora,0.000
Baixio,0.000
Banabuiú,0.000
Barbalha,0.758
Barreira,0.000
Barro,0.033
Barroquinha,2.632
Baturité,0.000
Beberibe,2.996
Bela Cruz,3.796
Boa Viagem,0.087
Brejo Santo,0.270
Camocim,2.949
Campos Sales,1.785
Canindé,0.138
Capistrano,0.005
Caridade,0.322
Cariré,0.000
Caririaçu,0.061
Cariús,0.006
Carnaubal,3.064
Cascavel,0.928
Catarina,0.333
Catunda,0.260
Caucaia,1.037
Cedro,0.000
Chaval,2.484
Choró,0.015
Chorozinho,0.000
Coreaú,0.000
Crateús,0.148
Crato,0.220
Croatá,2.382
Cruz,3.378
Deputado Irapuan Pinheiro,0.000
Ereré,0.000
Eusébio,0.000
Farias Brito,0.000
Forquilha,0.000
Fortaleza,0.000
Fortim,3.168
Frecheirinha,0.000
General Sampaio,0.000
Graça,0.032
Granja,0.898
Granjeiro,0.066
Groaíras,0.000
Guaiúba,0.013
Guaraciaba do Norte,3.100
Guaramiranga,0.008
Hidrolândia,0.000
Horizonte,0.188
Ibaretama,0.001
Ibiapina,2.154
Ibicuitinga,0.000
Icapuí,2.861
Icó,0.157
Iguatu,0.000
Independência,0.000
Ipaporanga,0.299
Ipaumirim,0.000
Ipu,0.215
Ipueiras,1.165
Iracema,0.074
Irauçuba,0.218
Itaiçaba,3.323
Itaitinga,0.000
Itapajé,0.208
Itapipoca,2.471
Itapiúna,0.108
Itarema,2.799
Itatira,0.119
Jaguaretama,0.000
Jaguaribara,0.000
Jaguaribe,0.001
Jaguaruana,2.886
Jardim,1.087
Jati,0.273
Jijoca de Jericoacoara,2.551
Juazeiro do Norte,0.000
Jucás,0.006
Lavras da Mangabeira,0.000
Limoeiro do Norte,0.000
Madalena,0.009
Maracanaú,0.044
Maranguape,0.372
Marco,3.451
Martinópole,0.645
Massapê,0.173
Mauriti,0.573
Meruoca,0.456
Milagres,0.005
Milhã,0.000
Miraíma,0.012
Missão Velha,0.768
Mombaça,0.061
Monsenhor Tabosa,0.887
Morada Nova,0.003
Moraújo,0.012
Morrinhos,1.658
Mucambo,0.001
Mulungu,0.029
Nova Olinda,0.739
Nova Russas,0.000
Novo Oriente,0.269
Ocara,0.000
Orós,0.000
Pacajus,0.008
Pacatuba,0.117
Pacoti,0.093
Pacujá,0.000
Palhano,1.341
Palmácia,0.205
Paracuru,2.739
Paraipaba,2.819
Parambu,0.344
Paramoti,0.000
Pedra Branca,0.726
Penaforte,0.202
Pentecoste,0.012
Pereiro,0.716
Pindoretama,2.973
Piquet Carneiro,0.000
Pires Ferreira,0.000
Poranga,1.433
Porteiras,0.222
Potengi,2.579
Potiretama,0.000
Quiterianópolis,0.034
Quixadá,0.004
Quixelô,0.000
Quixeramobim,0.004
Quixeré,0.308
Redenção,0.004
Reriutaba,0.000
Russas,0.007
Saboeiro,0.000
Salitre,3.557
Santa Quitéria,0.284
Santana do Acaraú,0.037
Santana do Cariri,2.011
São Benedito,2.751
São Gonçalo do Amarante,0.960
São João do Jaguaribe,0.000
São Luí­s do Curu,0.000
Senador Pompeu,0.000
Senador Sá,0.456
Sobral,0.032
Solonópole,0.000
Tabuleiro do Norte,0.000
Tamboril,0.268
Tarrafas,0.019
Tauá,0.890
Tejuçuoca,0.004
Tianguá,2.100
Trairi,2.309
Tururu,0.063
Ubajara,1.824
Umari,0.006
Umirim,0.002
Uruburetama,0.041
Uruoca,0.020
Varjota,0.000
Várzea Alegre,0.025
Viçosa do Ceará,1.450
